"study","author","year","class","order","family","genus","species","common_name","prenatal_dev_time","postnatal_dev_time","age_sexual_maturity","life_expectancy","unit_dev_time","stage","sex","prenatal_trt_start","prenatal_trt_end","prenatal_dur","prenatal_unit","post_natal_trt_start","postnatal_trt_end","dur_trt_postnatal","postnatal_unit","total_trt_duration","total_trt_unit","relative_prenatal_start","relative_prenatal_end","relative_prenatal_duration","relative_postnatal_start","relative_postnatal_end","relative_postnatal_duration","relative_total_duration","prenatal_measure_delay","postnatal_measure_delay","measure_delay_units","relative_treatment_delay","envirn_type","nutrition_sum","nutrition_type","fasting_period","fasting_period_units","tissue_sum","tissue","mito_preparation","mito_efficiency_dir","respiration_category","antioxidant_category","oxidative_damage_category","measurement_category","measure_listed","descrp_measure","units...55","ref","t1","t2","dose","units...61","mean_t1","sd_t1","n_t1","mean_t2","sd_t2","n_t2","sample_depend","CORT_values_available","observation","species_phylo","species_phylo2","SMDH","v_SMDH"
"s20","Cao","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat",22,22,63,1095,"days","prenatal","male","14","20","7","days","NA","NA","NA","NA",7,"days","0.63636363636363635","0.90909090909090906","0.31818181818181818","NA","NA","NA",0.159090909090909,"30","NA","days",1.36363636363636,"disturbance","NA","NA","NA","NA","brain","hippocampus","NA","1","NA","NA","NA","metabolic capacity","PGC1α","protein levels, peroxisome proliferator-activated receptor gamma coactivator-1 alpha, upregulation promotes biogenesis","unitless","figure2e","restraint","control",6,"hours",66.5492957746479,13.799942212863,6,99.6478873239437,11.2124530479511,6,1,"yes",290,"Rattus_norvegicus","Rattus_norvegicus",2.42915231945239,0.707402512896678
"s20","Cao","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat",22,22,63,1095,"days","prenatal","male","14","20","7","days","NA","NA","NA","NA",7,"days","0.63636363636363635","0.90909090909090906","0.31818181818181818","NA","NA","NA",0.159090909090909,"30","NA","days",1.36363636363636,"disturbance","NA","NA","NA","NA","brain","hippocampus","NA","1","NA","NA","NA","metabolic capacity","COX2","protein levels","unitless","figure2e","restraint","control",6,"hours",76.4084507042254,11.2124530479511,6,98.2394366197183,22.4249060959024,6,1,"yes",291,"Rattus_norvegicus","Rattus_norvegicus",1.13627825185687,0.487796722063717
"s20","Cao","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat",22,22,63,1095,"days","prenatal","male","14","20","7","days","NA","NA","NA","NA",7,"days","0.63636363636363635","0.90909090909090906","0.31818181818181818","NA","NA","NA",0.159090909090909,"30","NA","days",1.36363636363636,"disturbance","NA","NA","NA","NA","brain","hippocampus","NA","1","NA","NA","NA","metabolic capacity","COX4","protein levels","unitless","figure2e","restraint","control",6,"hours",38.0281690140845,22.4249060959023,6,97.5352112676056,42.2623230268929,6,1,"yes",292,"Rattus_norvegicus","Rattus_norvegicus",1.62309640530422,0.573120333663238
"s20","Cao","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat",22,22,63,1095,"days","prenatal","male","14","20","7","days","NA","NA","NA","NA",7,"days","0.63636363636363635","0.90909090909090906","0.31818181818181818","NA","NA","NA",0.159090909090909,"30","NA","days",1.36363636363636,"disturbance","NA","NA","NA","NA","brain","hippocampus","NA","1","NA","NA","NA","metabolic capacity","COX5","protein levels","unitless","figure2e","restraint","control",6,"hours",44.718309859155,17.2499277660787,6,96.4788732394366,27.5998844257259,6,1,"yes",293,"Rattus_norvegicus","Rattus_norvegicus",2.07531344425553,0.656697350532716
"s20","Cao","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat",22,22,63,1095,"days","prenatal","male","14","20","7","days","NA","NA","NA","NA",7,"days","0.63636363636363635","0.90909090909090906","0.31818181818181818","NA","NA","NA",0.159090909090909,"30","NA","days",1.36363636363636,"disturbance","NA","NA","NA","NA","brain","hippocampus","NA","NA","NA","enzymatic","NA","antioxidant","Nrf2","protein levels","unitless","figure2e","restraint","control",6,"hours",63.5838150289017,10.6191751854762,6,99.7109826589595,31.1495805440635,6,1,"yes",294,"Rattus_norvegicus","Rattus_norvegicus",-1.43253086841057,0.566930556747096
"s20","Cao","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat",22,22,63,1095,"days","prenatal","male","14","20","7","days","NA","NA","NA","NA",7,"days","0.63636363636363635","0.90909090909090906","0.31818181818181818","NA","NA","NA",0.159090909090909,"30","NA","days",1.36363636363636,"disturbance","NA","NA","NA","NA","brain","hippocampus","NA","NA","NA","enzymatic","NA","antioxidant","NQO1","protein levels","unitless","figure2f","restraint","control",6,"hours",58.6705202312139,9.91123017311114,6,100,39.6449206924444,6,1,"yes",295,"Rattus_norvegicus","Rattus_norvegicus",-1.31979020395779,0.554897740101377
"s20","Cao","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat",22,22,63,1095,"days","prenatal","male","14","20","7","days","NA","NA","NA","NA",7,"days","0.63636363636363635","0.90909090909090906","0.31818181818181818","NA","NA","NA",0.159090909090909,"30","NA","days",1.36363636363636,"disturbance","NA","NA","NA","NA","brain","hippocampus","NA","NA","NA","enzymatic","NA","antioxidant","HO-1","protein levels","unitless","figure2f","restraint","control",6,"hours",55.4913294797688,23.3621854080476,6,100,31.1495805440634,6,1,"yes",296,"Rattus_norvegicus","Rattus_norvegicus",-1.49169279056839,0.519979946806906
"s20","Cao","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat",22,22,63,1095,"days","prenatal","male","14","20","7","days","NA","NA","NA","NA",7,"days","0.63636363636363635","0.90909090909090906","0.31818181818181818","NA","NA","NA",0.159090909090909,"30","NA","days",1.36363636363636,"disturbance","NA","NA","NA","NA","brain","hippocampus","NA","1","NA","NA","NA","metabolic capacity","p-Akt/Akt","protein kinase B; activates AMPK, 'upstream of AMPK'","unitless","figure2a","restraint","control",6,"hours",93.9252336448598,29.1878450658743,6,99.5327102803739,29.1878450658743,6,1,"yes",297,"Rattus_norvegicus","Rattus_norvegicus",0.177274972715631,0.401571320797566
"s20","Cao","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat",22,22,63,1095,"days","prenatal","male","14","20","7","days","NA","NA","NA","NA",7,"days","0.63636363636363635","0.90909090909090906","0.31818181818181818","NA","NA","NA",0.159090909090909,"30","NA","days",1.36363636363636,"disturbance","NA","NA","NA","NA","brain","hippocampus","NA","1","NA","NA","NA","metabolic capacity","p-AMPK/AMPK","ratio, AMP-activated protein kinase (AMPK) modulates mitochondrial biogenesis via the regulation of PGC-1a and oxidative stress via Nrf2","unitless","figure2a","restraint","control",6,"hours",83.411214953271,12.8769904702387,6,99.5327102803739,12.0185244388894,6,1,"yes",298,"Rattus_norvegicus","Rattus_norvegicus",1.19436795630159,0.471664177953171
"s20","Cao","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat",22,22,63,1095,"days","prenatal","male","14","20","7","days","NA","NA","NA","NA",7,"days","0.63636363636363635","0.90909090909090906","0.31818181818181818","NA","NA","NA",0.159090909090909,"30","NA","days",1.36363636363636,"disturbance","NA","NA","NA","NA","brain","hippocampus","NA","1","NA","NA","NA","metabolic capacity","p-ACC/ACC","ratio","unitless","figure2a","restraint","control",6,"hours",49.7663551401869,20.6031847523819,6,99.5327102803739,48.0740977555577,6,1,"yes",299,"Rattus_norvegicus","Rattus_norvegicus",1.24166866133028,0.513751525629096
