"","study","author","year","class","order","family","genus","species","common_name","stage","sex","prenatal_trt_start","prenatal_trt_end","prenatal_dur","prenatal_unit","post_natal_trt_start","postnatal_trt_end","dur_trt_postnatal","postnatal_unit","total_trt_duration","total_trt_unit","prenatal_measure_delay","postnatal_measure_delay","measure_delay_units","envirn_type","nutrition_sum","nutrition_type","admin","fasting_period","fasting_period_units","num_tissues_types","tissue_sum","tissue","mito_preparation","mito_efficiency_dir","respiration_category","antioxidant_category","oxidative_damage_category","measurement_category","measure_listed","descrp_measure","units...42","measurement_methods","ref","t1","t2","dose","units...48","mean_t1","sd_t1","n_t1","se_t1","CI95_t1","mean_t2","sd_t2","n_t2","se_t2","CI95_t2","sample_depend","control_multiple_comparisons","type","CORT_values_available","Notes","observation","SMDH","v_SMDH","ROM","v_ROM","species_phylo"
"1","s1","Casagrande","2020","Aves","Passeriformes","Paridae","Parus","major","great tit","postnatal","both","NA","NA","NA","NA","5","14","10","days",10,"days","NA","1","days","cort","NA","NA","oral","NA","NA",1,"erythrocyte","erythrocyte","homogenate","NA","basal","NA","NA","respiration","CMR","cellular metabolic rate, 'routine' as per Stier et al. 2017","pmolO2/s/mg","oroboros","table2","cort","vehicle",0.85,"ug/g",3.6,1.31939380019765,17,0.32,"NA",2.76,1.31521861300698,18,0.31,"NA","1","no","LS","yes","View study_notes",1,0.62304246465331,0.127223321839096,0.265703165733006,0.0205167565170716,"Parus_major"
"2","s1","Casagrande","2020","Aves","Passeriformes","Paridae","Parus","major","great tit","postnatal","both","NA","NA","NA","NA","5","14","10","days",10,"days","NA","1","days","cort","NA","NA","oral","NA","NA",1,"erythrocyte","erythrocyte","homogenate","NA","leak","NA","NA","respiration","Leak","cellular metabolic rate - proton leak after inhibiting ATP-dependent O2","pmolO2/s/mg","oroboros","table2","cort","vehicle",0.85,"ug/g",1.65,0.824621125123532,17,0.2,"NA",1.25,0.806101730552664,18,0.19,"NA","1","no","LS","yes","View study_notes",2,0.479300045282308,0.124897549334582,0.277631736598279,0.037796378328742,"Parus_major"
"3","s1","Casagrande","2020","Aves","Passeriformes","Paridae","Parus","major","great tit","postnatal","both","NA","NA","NA","NA","5","14","10","days",10,"days","NA","1","days","cort","NA","NA","oral","NA","NA",1,"erythrocyte","erythrocyte","homogenate","NA","total oxphos","NA","NA","respiration","OXPHOS","proton leak after inhibiting ATP-dependent oxygen consumption by oligomycin addition","pmolO2/s/mg","oroboros","table2","cort","vehicle",0.85,"ug/g",1.96,0.783390068867356,17,0.19,"NA",1.51,0.763675323681471,18,0.18,"NA","1","no","LS","yes","View study_notes",3,0.568360939256896,0.12632691766085,0.260834822415593,0.0236070292718443,"Parus_major"
"4","s1","Casagrande","2020","Aves","Passeriformes","Paridae","Parus","major","great tit","postnatal","both","NA","NA","NA","NA","5","14","10","days",10,"days","NA","1","days","cort","NA","NA","oral","NA","NA",1,"erythrocyte","plasma","NA","NA","NA","NA","NA","oxidative damage","ROM","Reactive oxygen metabolite","10 mmol/ L H2O2","d-Rom assay","table2","cort","vehicle",0.85,"ug/g",1.58,1.52554908147853,17,0.37,"NA",0.9,1.56977705423414,18,0.37,"NA","1","no","LS","yes","View study_notes",4,0.429253464927864,0.124010291791161,0.562785362696702,0.223851313793097,"Parus_major"
"5","s1","Casagrande","2020","Aves","Passeriformes","Paridae","Parus","major","great tit","postnatal","both","NA","NA","NA","NA","5","14","10","days",10,"days","NA","1","days","cort","NA","NA","oral","NA","NA",1,"erythrocyte","erythrocyte","homogenate","0","mitochondrial efficiency","NA","NA","respiration","FCR(L/R)","proton leak/cellular metabolic rate","unitless","oroboros","table2","cort","vehicle",0.85,"ug/g",0.44,0.164924225024706,17,0.04,"NA",0.46,0.127279220613579,18,0.03,"NA","1","no","LS","yes","View study_notes",5,-0.132655656705904,0.122543471422145,-0.0444517625708339,0.0125177709384618,"Parus_major"
"6","s1","Casagrande","2020","Aves","Passeriformes","Paridae","Parus","major","great tit","postnatal","both","NA","NA","NA","NA","5","14","10","days",10,"days","NA","1","days","cort","NA","NA","oral","NA","NA",1,"erythrocyte","erythrocyte","homogenate","NA","ets","NA","NA","respiration","ETS","maximal capacity of the electron transport chain by adding CCCP uncoupler","pmolO2/s/mg","oroboros","table2","cort","vehicle",0.85,"ug/g",7.76,3.38094661300648,17,0.82,"NA",5.92,3.39411254969543,18,0.8,"NA","1","no","LS","yes","View study_notes",6,0.530712787186081,0.125579737366343,0.270645885299213,0.0294276754356307,"Parus_major"
"7","s1","Casagrande","2020","Aves","Passeriformes","Paridae","Parus","major","great tit","postnatal","both","NA","NA","NA","NA","5","14","10","days",10,"days","NA","1","days","cort","NA","NA","oral","NA","NA",1,"plasma","plasma","NA","NA","NA","NA","NA","glucocorticoids","baseline corticosterone","baseline CORT, blood collected within three minutes of disturbance","ng/ml","EIA kit, Arbor Assays","table2","cort","vehicle",0.85,"ug/g",12.49,4.94772675074119,17,1.2,"NA",6.59,5.09116882454314,18,1.2,"NA","1","no","LS","yes","View study_notes",7,1.14835822786462,0.14119925371719,0.63937497562307,0.0423890179920358,"Parus_major"
"8","s1","Casagrande","2020","Aves","Passeriformes","Paridae","Parus","major","great tit","postnatal","both","NA","NA","NA","NA","5","14","10","days",10,"days","NA","1","days","cort","NA","NA","oral","NA","NA",1,"plasma","plasma","NA","NA","NA","general","NA","antioxidant","OXY","total antioxidant capacity","umolHOCl/mL","OXY-adsorbent test (Diacron International)","table2","cort","vehicle",0.85,"ug/g",230.73,59.2077967838696,17,14.36,"NA",248.41,59.2696903990564,18,13.97,"NA","1","no","LS","yes","View study_notes",8,-0.291609727926845,0.122609219918334,-0.0738324111608874,0.00703615061998502,"Parus_major"
"9","s1","Casagrande","2020","Aves","Passeriformes","Paridae","Parus","major","great tit","postnatal","both","NA","NA","NA","NA","5","14","10","days",10,"days","NA","1","days","cort","NA","NA","oral","NA","NA",1,"plasma","plasma","NA","NA","NA","NA","general","oxidative damage","ROM",NA,"mmolI/H2O2 equivalents","d-ROM test (Diacron International)","table2","cort","vehicle",0.85,"ug/g",1.58,1.52554908147853,17,0.37,"NA",0.9,1.56977705423414,18,0.37,"NA","a","no","LS","yes","View study_notes",9,0.429253464927864,0.124010291791161,0.562785362696702,0.223851313793097,"Parus_major"
"10","s2","Stier","2022","Aves","Galliformes","Phasianidae","Cortunix","japonica","japnese quail","prenatal","both","0","16.5","16.5","days","NA","NA","NA","NA",16.5,"days","20","NA","days","temp","NA","NA","ambient","NA","NA",1,"erythrocyte","erythrocyte","homogenate","NA","total oxphos","NA","NA","respiration","Routine","baseline - background; as per Stier et al. 2017","pmolO2/s/ml","oroboros","figure1a","38.4","37",1.4,"celsius",35.6489165508304,7.95508150442927,16,1.98877037610732,"NA",31.8986638415994,4.5740836312599,20,1.02279619342662,"NA","1","yes","raw","NA","View study_notes",10,0.565110067710224,0.132889978692961,0.111154632047142,0.00414036026643208,"Coturnix_japonica"
